image_path,item_id,split
Data/img/WOMEN/Blouses_Shirts/id_00002441/01_4_full.jpg,id_00002441,gallery
Data/img/WOMEN/Blouses_Shirts/id_00002441/01_1_front.jpg,id_00002441,gallery
Data/img/WOMEN/Blouses_Shirts/id_00002441/02_7_additional.jpg,id_00002441,gallery
Data/img/WOMEN/Blouses_Shirts/id_00002441/02_1_front.jpg,id_00002441,query
Data/img/WOMEN/Blouses_Shirts/id_00002441/01_7_additional.jpg,id_00002441,gallery
Data/img/WOMEN/Blouses_Shirts/id_00002441/02_2_side.jpg,id_00002441,gallery
Data/img/WOMEN/Blouses_Shirts/id_00002441/01_2_side.jpg,id_00002441,query
Data/img/WOMEN/Blouses_Shirts/id_00006350/03_1_front.jpg,id_00006350,gallery
Data/img/WOMEN/Blouses_Shirts/id_00006350/03_7_additional.jpg,id_00006350,gallery
Data/img/WOMEN/Blouses_Shirts/id_00006350/04_3_back.jpg,id_00006350,gallery
Data/img/WOMEN/Blouses_Shirts/id_00006350/04_7_additional.jpg,id_00006350,query
Data/img/WOMEN/Blouses_Shirts/id_00006350/03_2_side.jpg,id_00006350,gallery
Data/img/WOMEN/Blouses_Shirts/id_00006350/03_3_back.jpg,id_00006350,query
Data/img/WOMEN/Blouses_Shirts/id_00006350/04_1_front.jpg,id_00006350,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007407/02_4_full.jpg,id_00007407,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007407/02_7_additional.jpg,id_00007407,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007407/02_1_front.jpg,id_00007407,query
Data/img/WOMEN/Blouses_Shirts/id_00007407/02_2_side.jpg,id_00007407,gallery
Data/img/WOMEN/Blouses_Shirts/id_00003792/02_7_additional.jpg,id_00003792,gallery
Data/img/WOMEN/Blouses_Shirts/id_00003792/02_1_front.jpg,id_00003792,gallery
Data/img/WOMEN/Blouses_Shirts/id_00003792/02_3_back.jpg,id_00003792,gallery
Data/img/WOMEN/Blouses_Shirts/id_00003792/02_2_side.jpg,id_00003792,query
Data/img/WOMEN/Blouses_Shirts/id_00003120/01_4_full.jpg,id_00003120,gallery
Data/img/WOMEN/Blouses_Shirts/id_00003120/01_1_front.jpg,id_00003120,gallery
Data/img/WOMEN/Blouses_Shirts/id_00003120/01_3_back.jpg,id_00003120,query
Data/img/WOMEN/Blouses_Shirts/id_00003120/01_7_additional.jpg,id_00003120,gallery
Data/img/WOMEN/Blouses_Shirts/id_00003120/01_2_side.jpg,id_00003120,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007866/01_1_front.jpg,id_00007866,query
Data/img/WOMEN/Blouses_Shirts/id_00007866/02_7_additional.jpg,id_00007866,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007866/02_1_front.jpg,id_00007866,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007866/01_3_back.jpg,id_00007866,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007866/02_3_back.jpg,id_00007866,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007866/01_7_additional.jpg,id_00007866,query
Data/img/WOMEN/Blouses_Shirts/id_00007866/01_2_side.jpg,id_00007866,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007174/03_1_front.jpg,id_00007174,gallery
Data/img/WOMEN/Blouses_Shirts/id_00007174/03_7_additional.jpg,id_00007174,gallery
